Geotek MSCL 7.9 - TN336_TC4-04.raw created at 22:27:54 on 1/19/2016.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.56,1,56,0.78,94.08,0.0032,1251,15,19.98,428.3,,0.56,1,56,10.258,0.0032,1523.314,1.75,14.7148,8.3373,2665.7995,0.580046404,0.7345
0.57,1,57,0.83,93.77,0.0031,1238,15,19.98,429.7,,0.57,1,57,10.263,0.0031,1531.105,1.7649,14.7148,8.0184,2702.247215,0.571403712,0.7341
0.58,1,58,0.83,93.69,0.0031,1284,14,19.98,429.4,,0.58,1,58,10.263,0.0031,1532.935,1.7128,13.7338,7.9098,2625.611068,0.60162413,0.7413
0.59,1,59,0.73,93.72,0.0046,1263,14,19.99,430,,0.59,1,59,10.253,0.0046,1530.755,1.7363,13.7338,7.3401,2657.849907,0.587993039,0.7514
0.6,1,60,0.68,93.76,0.0048,1262,13,19.99,432.4,,0.6,1,60,10.248,0.0048,1529.096,1.7374,12.7528,7.2542,2656.65139,0.587354988,0.7594
0.61,1,61,0.58,93.87,0.005,1244,13,20,438.5,,0.61,1,61,10.238,0.005,1525.1,1.758,12.7528,7.2067,2681.1258,0.575406032,0.7616
0.62,1,62,0.52,94.06,0.0062,1234,13,19.99,446.2,,0.62,1,62,10.232,0.0062,1519.905,1.7696,12.7528,7.2351,2689.623888,0.568677494,0.7554
0.63,1,63,0.45,94.42,0.0072,1240,13,19.99,453.8,,0.63,1,63,10.225,0.0072,1510.786,1.7626,12.7528,7.3688,2662.911404,0.572737819,0.7452
0.64,1,64,0.4,94.6,0.0103,1268,13,20,460.5,,0.64,1,64,10.22,0.0103,1506.042,1.7307,12.7528,7.2637,2606.506889,0.591241299,0.739
0.65,1,65,0.35,94.6,0.0081,1246,13,20,464.7,,0.65,1,65,10.215,0.0081,1505.305,1.7557,12.7528,6.8774,2642.863989,0.576740139,0.7339
0.66,1,66,0.35,94.44,0.0074,1285,12,20.03,466.2,,0.66,1,66,10.215,0.0074,1508.863,1.7117,11.7718,6.2189,2582.720797,0.602262181,0.731
0.67,1,67,0.3,94.49,0.0081,1264,11,20.07,466.5,,0.67,1,67,10.21,0.0081,1507.011,1.7352,10.7909,7.016,2614.965487,0.58863109,0.7315
0.68,1,68,0.25,94.82,0.0089,1316,12,20.06,465.2,,0.68,1,68,10.205,0.0089,1498.972,1.6779,11.7718,7.1243,2515.125119,0.621867749,0.7305
0.69,1,69,0.2,95.01,0.009,1340,12,20.06,461.8,,0.69,1,69,10.2,0.009,1494.068,1.6523,11.7718,6.8064,2468.648556,0.636716937,0.7256
0.7,1,70,0.25,94.91,0.009,1269,12,20.04,456,,0.7,1,70,10.205,0.009,1496.993,1.7295,11.7718,6.7975,2589.049394,0.591937355,0.714
0.71,1,71,0.17,94.69,0.0084,1267,12,20.04,449.2,,0.71,1,71,10.197,0.0084,1500.662,1.7318,11.7718,7.3832,2598.846452,0.590603248,0.6996
0.72,1,72,0.16,94.69,0.0088,1271,13,20.03,445.4,,0.72,1,72,10.196,0.0088,1500.515,1.7273,12.7528,6.7005,2591.83956,0.593213457,0.6859
0.73,1,73,0.13,94.71,0.0088,1245,12,20.03,440.5,,0.73,1,73,10.193,0.0088,1499.632,1.7568,11.7718,6.8374,2634.553498,0.576102088,0.6743
0.74,1,74,0.11,94.61,0.0087,1276,12,20.03,438.6,,0.74,1,74,10.191,0.0087,1501.547,1.7217,11.7718,6.8552,2585.21347,0.596461717,0.6673
0.75,1,75,0.06,94.55,0.0091,1280,12,20.03,436.1,,0.75,1,75,10.186,0.0091,1502.138,1.7172,11.7718,6.802,2579.471374,0.599071926,0.6647
0.76,1,76,0.1,94.57,0.0094,1268,12,20.03,436,,0.76,1,76,10.19,0.0094,1502.285,1.7307,11.7718,6.8685,2600.00465,0.591241299,0.6642
0.77,1,77,0.14,94.56,0.0094,1283,12,20.03,439,,0.77,1,77,10.194,0.0094,1503.097,1.7139,11.7718,6.9488,2576.157948,0.600986079,0.6664
0.78,1,78,0.09,94.6,0.0104,1301,12,20.03,448,,0.78,1,78,10.189,0.0104,1501.474,1.6941,11.7718,6.9801,2543.647103,0.612470998,0.6721
0.79,1,79,0.15,94.7,0.0097,1308,12,20.04,455.4,,0.79,1,79,10.195,0.0097,1500.147,1.6865,11.7718,6.9891,2529.997916,0.61687935,0.6822
0.8,1,80,0.15,94.83,0.0093,1310,12,20.04,463.8,,0.8,1,80,10.195,0.0093,1497.283,1.6843,11.7718,7.1425,2521.873757,0.618155452,0.6941
0.81,1,81,0.33,95.05,0.0096,1344,12,20.04,469.4,,0.81,1,81,10.213,0.0096,1495.096,1.6481,11.7718,6.9891,2464.067718,0.639153132,0.701
0.82,1,82,0.33,94.99,0.0102,1310,12,20.03,471.1,,0.82,1,82,10.213,0.0102,1496.41,1.6843,11.7718,7.043,2520.403363,0.618155452,0.7101
0.83,1,83,0.27,94.92,0.01,1322,12,20.05,470.5,,0.83,1,83,10.207,0.01,1497.067,1.6714,11.7718,6.9801,2502.197784,0.625638051,0.7138
