Geotek MSCL 7.9 - TN336_JPC27-31.raw created at 4:07:41 on 1/24/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC27-31.out created at 4:16:17 on 1/24/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
2.832,2,146.02,3.63,999,0,4765,27,19.62,386.5,,2.832,2,146,10.543,0,108.3723,1.5418,23.9453,15.5304,167.0928,0.7008,0.7982
2.842,2,147.02,3.42,999,0,4787,27,19.62,376,,2.842,2,147,10.522,0,108.1564,1.5389,24.0828,15.6496,166.4399,0.7025,0.8226
2.852,2,148.02,3.15,999,0,4766,31,19.62,355.1,,2.852,2,148,10.495,0,107.8789,1.5486,27.8554,17.9873,167.063,0.6969,0.8756
2.862,2,149.02,2.95,118.68,0.0002,4779,27,19.62,305.3,,2.862,2,149,10.475,0.0002,1132.065,1.548,24.3945,15.7589,1752.422,0.6972,1.0327
2.872,2,150.02,3.03,119.18,0.0013,4843,27,19.61,216.1,,2.872,2,150,10.483,0.0013,1126.841,1.5293,24.3411,15.9161,1723.32,0.708,1.5067
2.882,2,151.02,4.9,119.99,0.0001,5028,28,19.62,120.2,,2.882,2,151,10.67,0.0001,1137.042,1.4544,23.9939,16.497,1653.765,0.7515,2.8615
2.892,2,152.02,6.28,999,0,7173,29,19.62,70.1,,2.892,2,152,10.808,0,111.0963,1.0041,23.9536,23.8568,111.5471,1.0127,5.1583
2.902,3,0.47,5.93,999,0,6140,31,19.62,89,,2.902,3,0.5,10.773,0,110.7365,1.1931,25.8442,21.662,132.116,0.9031,3.974
2.912,3,1.47,6.26,97.23,0.0003,4742,30,19.62,163.9,,2.912,3,1.5,10.806,0.0003,1520.259,1.5105,24.7927,16.4137,2296.342,0.719,2.0379
2.922,3,2.47,6.32,97.75,0.0009,4710,38,19.62,248.9,,2.922,3,2.5,10.812,0.0009,1510.056,1.5183,31.3543,20.6508,2292.735,0.7144,1.2914
2.932,3,3.47,5.96,99.22,0.0015,4626,42,19.62,312.1,,2.932,3,3.5,10.776,0.0015,1474.75,1.5465,34.9868,22.6228,2280.742,0.6981,1.0084
2.942,3,4.47,5.12,119.86,0.0001,4738,45,19.62,352,,2.942,3,4.5,10.692,0.0001,1140.967,1.5277,38.3349,25.0934,1743.043,0.709,0.8842
2.952,3,5.47,0.98,95.11,0.0006,4671,47,19.62,375.2,,2.952,3,5.5,10.278,0.0006,1490.429,1.6084,44.8497,27.8847,2397.2,0.6622,0.8245
