Geotek MSCL 7.9 - TN336_TC20-23.raw created at 4:43:50 on 1/23/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC20-23.out created at 4:45:39 on 1/23/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.442,1,44.2,0.24,95.19,0.0226,5177,17,18.46,661.5,,0.442,1,44.2,10.204,0.0226,1477.984,1.482,16.5638,11.1768,2190.345,0.7355,0.4407
0.452,1,45.2,0.2,95.03,0.0248,5333,17,18.45,651.5,,0.452,1,45.2,10.2,0.0248,1480.836,1.4433,16.5826,11.4896,2137.245,0.758,0.448
0.462,1,46.2,0.19,95.05,0.022,5306,17,18.46,640.3,,0.462,1,46.2,10.199,0.022,1480.261,1.4501,16.5873,11.4386,2146.543,0.754,0.4565
0.472,1,47.2,0.25,95.03,0.0257,5122,17,18.46,632.4,,0.472,1,47.2,10.205,0.0257,1481.562,1.496,16.5591,11.0687,2216.459,0.7274,0.4627
0.482,1,48.2,0.19,95.15,0.0286,5209,17,18.46,628.1,,0.482,1,48.2,10.199,0.0286,1478.116,1.4745,16.5873,11.2492,2179.528,0.7398,0.4662
0.492,1,49.2,0.17,95.1,0.0368,5086,17,18.48,627.6,,0.492,1,49.2,10.197,0.0368,1478.898,1.5066,16.5967,11.016,2228.107,0.7212,0.4666
0.502,1,50.2,0.16,95.2,0.0266,5073,18,18.47,630.9,,0.502,1,50.2,10.196,0.0266,1476.611,1.5102,17.5779,11.6398,2229.921,0.7192,0.4639
0.512,1,51.2,0.16,94.96,0.015,4953,18,18.47,634.3,,0.512,1,51.2,10.196,0.015,1481.761,1.5422,17.5779,11.398,2285.151,0.7006,0.4612
0.522,1,52.2,0.25,94.59,0.0111,4732,18,18.47,634.1,,0.522,1,52.2,10.205,0.0111,1491.087,1.6023,17.5332,10.9425,2389.182,0.6657,0.4614
0.532,1,53.2,0.34,94.51,0.0132,4850,18,18.48,631.8,,0.532,1,53.2,10.214,0.0132,1494.149,1.5677,17.4887,11.1558,2342.334,0.6858,0.4632
0.542,1,54.2,0.24,94.85,0.0207,4945,17,18.48,631.6,,0.542,1,54.2,10.204,0.0207,1485.298,1.5431,16.5638,10.7338,2292.029,0.7,0.4634
0.552,1,55.2,0.35,94.94,0.0206,5031,17,18.48,635.6,,0.552,1,55.2,10.215,0.0206,1484.954,1.5184,16.5124,10.8746,2254.805,0.7144,0.4602
0.562,1,56.2,0.3,95.06,0.0238,5091,16,18.48,642,,0.562,1,56.2,10.21,0.0238,1481.643,1.5034,15.5631,10.3521,2227.462,0.7231,0.4553
0.572,1,57.2,0.29,95.26,0.0147,5204,16,18.48,648.4,,0.572,1,57.2,10.209,0.0147,1477.21,1.4744,15.5675,10.5588,2177.938,0.7399,0.4504
0.582,1,58.2,0.19,95.24,0.0133,5192,16,18.49,652.7,,0.582,1,58.2,10.199,0.0133,1476.19,1.4789,15.6116,10.5564,2183.091,0.7373,0.4471
0.592,1,59.2,0.19,95.14,0.0238,5139,15,18.49,655.5,,0.592,1,59.2,10.199,0.0238,1478.33,1.4925,14.6358,9.8062,2206.407,0.7294,0.4451
0.602,1,60.2,0.19,95.34,0.0186,5150,16,18.48,658.5,,0.602,1,60.2,10.199,0.0186,1474.057,1.4897,15.6116,10.48,2195.839,0.7311,0.4429
