<PWAVE-TN336_BB8-08--640>
<PWAVE SAMPLE POINT>
Depth In Core=-64.00
Depth In Section=0.00
SBD=0.00
Core ID=TN336_BB8-08
Section Number=cal
Section Length=64.00
Comments=Core TN336_BB8-08 logged at 15:12:46 on 01-20-2016
TOT=101.76
TX Level (Volts)=159
P-Wave Amp Gain=75.00
Delay=80.00
Gate=52.00
Date=1/20/2016
Time=15:15:31
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
127.20,-0.068
127.28,-0.085
127.36,-0.103
127.44,-0.119
127.52,-0.130
127.60,-0.141
127.68,-0.152
127.76,-0.158
127.84,-0.159
127.92,-0.159
128.00,-0.156
128.08,-0.153
128.16,-0.145
128.24,-0.131
128.32,-0.121
128.40,-0.105
128.48,-0.088
128.56,-0.065
128.64,-0.049
128.72,-0.027
128.80,-0.008
128.88,0.023
128.96,0.045
129.04,0.070
129.12,0.098
129.20,0.120
129.28,0.142
129.36,0.163
129.44,0.179
129.52,0.196
129.60,0.206
129.68,0.218
129.76,0.223
129.84,0.223
129.92,0.229
130.00,0.229
130.08,0.217
