Geotek MSCL 7.9 - TN336_TC32-37.raw created at 0:16:59 on 1/25/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC32-37.out created at 0:19:46 on 1/25/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.412,1,41.2,0.42,95.92,0.0034,5007,21,18.63,641.4,,0.412,1,41.2,10.222,0.0034,1471.003,1.5181,20.3574,13.4094,2233.201,0.7145,0.4851
0.422,1,42.2,0.42,95.78,0.0043,4977,22,18.63,635.2,,0.422,1,42.2,10.222,0.0043,1473.973,1.5261,21.3268,13.9747,2249.433,0.7099,0.4902
0.432,1,43.2,0.46,95.7,0.004,4939,21,18.63,629.4,,0.432,1,43.2,10.226,0.004,1476.252,1.5357,20.3345,13.2415,2267.027,0.7044,0.495
0.442,1,44.2,0.42,95.65,0.0036,4955,22,18.64,622.4,,0.442,1,44.2,10.222,0.0036,1476.741,1.532,21.3268,13.9211,2262.328,0.7065,0.5011
0.452,1,45.2,0.53,95.68,0.0029,4934,22,18.64,619.1,,0.452,1,45.2,10.233,0.0029,1477.689,1.536,21.2608,13.842,2269.666,0.7042,0.504
0.462,1,46.2,0.39,95.76,0.0033,4949,22,18.64,617,,0.462,1,46.2,10.219,0.0033,1473.965,1.534,21.3449,13.9143,2261.107,0.7053,0.5058
0.472,1,47.2,0.38,95.73,0.0039,4988,23,18.64,614.6,,0.472,1,47.2,10.218,0.0039,1474.459,1.5238,22.3214,14.6488,2246.743,0.7113,0.5079
0.482,1,48.2,0.53,95.71,0.0039,4924,22,18.65,611.4,,0.482,1,48.2,10.233,0.0039,1477.05,1.5386,21.2608,13.8178,2272.658,0.7026,0.5108
0.492,1,49.2,0.52,95.64,0.0037,4866,22,18.64,607.3,,0.492,1,49.2,10.232,0.0037,1478.399,1.5545,21.2668,13.6804,2298.239,0.6934,0.5144
0.502,1,50.2,0.52,95.55,0.0036,4801,23,18.65,603.9,,0.502,1,50.2,10.232,0.0036,1480.324,1.5725,22.2334,14.1391,2327.779,0.683,0.5176
0.512,1,51.2,0.57,95.42,0.0026,4827,23,18.65,600.3,,0.512,1,51.2,10.237,0.0026,1483.838,1.5645,22.2021,14.1911,2321.472,0.6876,0.521
0.522,1,52.2,0.62,95.63,0.0028,4820,23,18.64,599,,0.522,1,52.2,10.242,0.0028,1480.058,1.5657,22.1709,14.1606,2317.29,0.687,0.5221
0.532,1,53.2,0.68,95.63,0.003,4752,23,18.65,597.3,,0.532,1,53.2,10.248,0.003,1480.925,1.5837,22.1335,13.9756,2345.38,0.6765,0.5238
0.542,1,54.2,0.76,95.63,0.0026,4798,23,18.65,596.4,,0.542,1,54.2,10.256,0.0026,1482.081,1.5696,22.0837,14.0693,2326.323,0.6847,0.5246
0.552,1,55.2,0.81,95.64,0.0025,4798,23,18.65,595.7,,0.552,1,55.2,10.261,0.0025,1482.589,1.5689,22.0527,14.0564,2325.987,0.6851,0.5253
0.562,1,56.2,0.77,95.7,0.0028,4799,23,18.65,600.2,,0.562,1,56.2,10.257,0.0028,1480.728,1.5692,22.0775,14.0693,2323.561,0.6849,0.5211
0.572,1,57.2,0.71,95.67,0.0025,4813,23,18.65,603.1,,0.572,1,57.2,10.251,0.0025,1480.503,1.5662,22.1148,14.1197,2318.818,0.6866,0.5183
0.582,1,58.2,0.66,95.71,0.0027,4850,24,18.65,605.5,,0.582,1,58.2,10.246,0.0027,1478.926,1.5568,23.1088,14.8438,2302.395,0.6921,0.5161
0.592,1,59.2,0.61,95.85,0.0038,4884,23,18.65,605.8,,0.592,1,59.2,10.241,0.0038,1475.223,1.5483,22.1771,14.3238,2284.046,0.6971,0.5159
0.602,1,60.2,0.56,95.76,0.003,4762,24,18.66,609,,0.602,1,60.2,10.236,0.003,1476.417,1.5828,23.1739,14.6414,2336.827,0.677,0.5129
0.612,1,61.2,0.46,95.71,0.0028,4867,24,18.66,609,,0.612,1,61.2,10.226,0.0028,1476.039,1.5552,23.2394,14.9432,2295.513,0.693,0.5129
0.622,1,62.2,0.43,95.69,0.0033,4870,23,18.66,607.1,,0.622,1,62.2,10.223,0.0033,1476.032,1.5548,22.2899,14.336,2294.964,0.6933,0.5147
0.632,1,63.2,0.43,95.73,0.003,4982,24,18.66,607,,0.632,1,63.2,10.223,0.003,1475.18,1.5246,23.2591,15.2556,2249.094,0.7108,0.5148
0.642,1,64.2,0.36,95.79,0.0032,4936,24,18.66,604.6,,0.642,1,64.2,10.216,0.0032,1472.895,1.538,23.3051,15.1531,2265.273,0.703,0.517
0.652,1,65.2,0.31,95.78,0.0034,4859,24,18.66,603.2,,0.652,1,65.2,10.211,0.0034,1472.386,1.5597,23.338,14.9635,2296.427,0.6905,0.5182
0.662,1,66.2,0.25,95.76,0.0032,4878,24,18.66,600.4,,0.662,1,66.2,10.205,0.0032,1471.946,1.5554,23.3776,15.0302,2289.423,0.6929,0.5209
0.672,1,67.2,0.26,95.71,0.0032,4878,24,18.67,598.1,,0.672,1,67.2,10.206,0.0032,1473.152,1.5552,23.371,15.0275,2291.076,0.693,0.523
0.682,1,68.2,0.19,95.69,0.0036,4852,25,18.67,595.6,,0.682,1,68.2,10.199,0.0036,1472.567,1.5634,24.393,15.6023,2302.248,0.6883,0.5254
0.692,1,69.2,0.16,95.64,0.0037,4837,25,18.67,591.6,,0.692,1,69.2,10.196,0.0037,1473.198,1.568,24.4138,15.5697,2310.012,0.6856,0.5292
0.702,1,70.2,0.1,95.65,0.0037,4819,26,18.67,587.5,,0.702,1,70.2,10.19,0.0037,1472.118,1.5739,25.4335,16.1591,2317.03,0.6822,0.5332
0.712,1,71.2,0.15,95.63,0.0032,4801,25,18.67,582.1,,0.712,1,71.2,10.195,0.0032,1473.266,1.5782,24.4207,15.4739,2325.088,0.6797,0.5385
0.722,1,72.2,0.11,95.56,0.0033,4848,26,18.67,578.5,,0.722,1,72.2,10.191,0.0033,1474.179,1.5658,25.4263,16.239,2308.204,0.6869,0.5421
0.732,1,73.2,0.06,95.53,0.0031,4832,26,18.68,575.3,,0.732,1,73.2,10.186,0.0031,1474.096,1.571,25.4623,16.2082,2315.731,0.6839,0.5453
0.742,1,74.2,0.04,95.59,0.0031,4800,27,18.7,572.3,,0.742,1,74.2,10.184,0.0031,1472.528,1.5802,26.4566,16.7429,2326.844,0.6786,0.5485
0.752,1,75.2,0.01,95.63,0.0029,4777,26,18.71,570.3,,0.752,1,75.2,10.181,0.0029,1471.243,1.5871,25.4984,16.0662,2334.994,0.6745,0.5505
0.762,1,76.2,-0.01,95.65,0.0032,4717,27,18.71,566.8,,0.762,1,76.2,10.179,0.0032,1470.529,1.6044,26.4942,16.5132,2359.356,0.6645,0.5542
