<PWAVE-TN336_TC49-60--638>
<PWAVE SAMPLE POINT>
Depth In Core=-63.80
Depth In Section=0.00
SBD=0.00
Core ID=TN336_TC49-60
Section Number=cal
Section Length=63.80
Comments=Core TN336_TC49-60 logged at 03:57:27 on 01-29-2016
TOT=0.00
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/29/2016
Time=4:00:11
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
54.40,-0.005
54.48,-0.005
54.56,-0.005
54.64,-0.005
54.72,-0.005
54.80,-0.005
54.88,-0.005
54.96,-0.004
55.04,-0.004
55.12,-0.004
55.20,-0.004
55.28,-0.004
55.36,-0.004
55.44,-0.004
55.52,-0.004
55.60,-0.004
55.68,-0.003
55.76,-0.004
55.84,-0.003
55.92,-0.003
56.00,-0.003
56.08,-0.003
56.16,-0.003
56.24,-0.003
56.32,-0.003
56.40,-0.003
56.48,-0.003
56.56,-0.003
56.64,-0.003
56.72,-0.003
56.80,-0.003
56.88,-0.003
56.96,-0.003
57.04,-0.003
57.12,-0.003
57.20,-0.004
57.28,-0.004
57.36,-0.004
57.44,-0.004
57.52,-0.004
57.60,-0.004
57.68,-0.004
57.76,-0.004
57.84,-0.004
57.92,-0.004
58.00,-0.004
58.08,-0.004
58.16,-0.004
58.24,-0.004
58.32,-0.004
58.40,-0.004
58.48,-0.004
58.56,-0.004
58.64,-0.004
58.72,-0.004
58.80,-0.003
58.88,-0.004
58.96,-0.003
59.04,-0.003
59.12,-0.003
59.20,-0.003
59.28,-0.003
59.36,-0.003
59.44,-0.003
59.52,-0.003
59.60,-0.003
59.68,-0.003
59.76,-0.003
59.84,-0.003
59.92,-0.002
60.00,-0.003
60.08,-0.003
60.16,-0.003
60.24,-0.003
60.32,-0.003
60.40,-0.003
60.48,-0.004
60.56,-0.004
60.64,-0.004
60.72,-0.004
60.80,-0.004
60.88,-0.004
60.96,-0.004
61.04,-0.004
61.12,-0.003
61.20,-0.003
61.28,-0.003
61.36,-0.003
61.44,-0.003
61.52,-0.003
61.60,-0.003
61.68,-0.002
61.76,-0.003
61.84,-0.003
61.92,-0.003
62.00,-0.004
62.08,-0.004
62.16,-0.004
62.24,-0.004
62.32,-0.005
62.40,-0.005
62.48,-0.005
62.56,-0.005
62.64,-0.005
62.72,-0.005
62.80,-0.005
62.88,-0.005
62.96,-0.005
63.04,-0.005
63.12,-0.005
63.20,-0.005
63.28,-0.005
63.36,-0.004
63.44,-0.005
63.52,-0.004
63.60,-0.004
63.68,-0.004
63.76,-0.004
63.84,-0.004
63.92,-0.004
64.00,-0.004
64.08,-0.004
64.16,-0.004
64.24,-0.004
64.32,-0.004
64.40,-0.004
64.48,-0.003
64.56,-0.003
64.64,-0.003
64.72,-0.003
64.80,-0.003
64.88,-0.003
64.96,-0.003
65.04,-0.003
65.12,-0.003
65.20,-0.003
65.28,-0.003
65.36,-0.003
65.44,-0.004
65.52,-0.004
65.60,-0.004
65.68,-0.004
65.76,-0.004
65.84,-0.005
65.92,-0.005
66.00,-0.005
66.08,-0.005
66.16,-0.005
66.24,-0.005
66.32,-0.005
66.40,-0.005
66.48,-0.005
66.56,-0.005
66.64,-0.005
66.72,-0.004
66.80,-0.004
66.88,-0.004
66.96,-0.004
67.04,-0.004
67.12,-0.004
67.20,-0.004
67.28,-0.005
67.36,-0.004
67.44,-0.004
67.52,-0.004
67.60,-0.004
67.68,-0.004
67.76,-0.004
67.84,-0.003
67.92,-0.003
68.00,-0.003
68.08,-0.003
